City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kathu,TH,7.9178,98.3332,87.62,63,57,5.28,broken clouds
1,Mahebourg,MU,-20.4081,57.7,74.25,56,40,12.66,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,74.21,74,100,6.24,overcast clouds
3,Klaksvik,FO,62.2266,-6.589,52.72,85,100,12.26,overcast clouds
4,Lagoa,PT,39.05,-27.9833,68.58,76,100,16.31,overcast clouds
5,Ha Giang,VN,22.8333,104.9833,93.15,55,28,2.46,scattered clouds
6,Ust-Nera,RU,64.5667,143.2,53.11,35,35,5.1,scattered clouds
7,Atuona,PF,-9.8,-139.0333,77.97,76,10,19.35,clear sky
8,Ixtapa,MX,20.7,-105.2,77.23,98,100,2.77,overcast clouds
9,Butaritari,KI,3.0707,172.7902,81.82,79,75,14.47,light rain
10,Tallahassee,US,30.4383,-84.2807,79.65,94,1,0.0,clear sky
11,Meulaboh,ID,4.1363,96.1285,86.13,63,47,7.0,scattered clouds
12,Barrow,US,71.2906,-156.7887,39.22,81,40,6.91,light rain
13,Talnakh,RU,69.4865,88.3972,60.58,56,92,20.85,overcast clouds
14,Upernavik,GL,72.7868,-56.1549,32.38,96,100,22.57,snow
15,Lebu,CL,-37.6167,-73.65,47.17,88,37,12.44,scattered clouds
16,Guerrero Negro,MX,27.9769,-114.0611,72.12,85,54,8.93,broken clouds
17,Ketrzyn,PL,54.0768,21.3753,49.35,70,28,3.8,scattered clouds
18,Ribeira Grande,PT,38.5167,-28.7,69.26,74,83,15.28,broken clouds
19,Nalut,LY,30.3333,10.85,79.45,53,1,12.86,clear sky
20,Airai,TL,-8.9266,125.4092,71.8,53,99,4.92,overcast clouds
21,San Patricio,US,28.017,-97.5169,84.85,71,35,10.07,scattered clouds
22,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,3.27,overcast clouds
23,Hilo,US,19.7297,-155.09,73.13,90,90,0.0,light rain
24,Xining,CN,36.6167,101.7667,67.32,37,31,6.82,scattered clouds
25,Huambo,AO,-12.7761,15.7392,62.02,56,2,4.63,clear sky
26,Yellowknife,CA,62.456,-114.3525,57.72,100,75,8.05,heavy intensity shower rain
27,Puerto Ayora,EC,-0.7393,-90.3518,67.71,78,48,8.68,scattered clouds
28,Kavieng,PG,-2.5744,150.7967,84.15,73,28,11.77,light rain
29,Ushuaia,AR,-54.8,-68.3,44.26,70,0,4.61,clear sky
30,Vizinga,RU,61.0749,50.1031,39.61,96,100,8.1,overcast clouds
31,Namibe,AO,-15.1961,12.1522,61.0,86,8,3.24,clear sky
32,Busselton,AU,-33.65,115.3333,74.05,56,1,15.61,clear sky
33,Mataura,NZ,-46.1927,168.8643,57.47,68,100,4.65,overcast clouds
34,Nanortalik,GL,60.1432,-45.2371,41.25,77,0,7.96,clear sky
35,Carnarvon,AU,-24.8667,113.6333,89.67,33,0,12.66,clear sky
36,Pacific Grove,US,36.6177,-121.9166,69.76,92,1,5.99,haze
37,Kodiak,US,57.79,-152.4072,56.71,82,90,3.44,overcast clouds
38,Manggar,ID,-2.8833,108.2667,79.72,80,100,10.29,overcast clouds
39,Punta Arenas,CL,-53.15,-70.9167,33.91,86,0,6.91,clear sky
40,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,85,62,12.1,broken clouds
41,Port Alfred,ZA,-33.5906,26.891,60.24,64,100,16.75,overcast clouds
42,Arraial Do Cabo,BR,-22.9661,-42.0278,70.59,93,46,3.42,scattered clouds
43,Lasa,IT,46.6166,10.7002,61.68,82,35,1.59,scattered clouds
44,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,93,90,9.22,mist
45,Alofi,NU,-19.0595,-169.9187,78.69,89,97,3.44,light rain
46,Cabo San Lucas,MX,22.8909,-109.9124,83.61,82,19,7.43,few clouds
47,Bandarbeyla,SO,9.4942,50.8122,84.36,56,98,27.29,overcast clouds
48,Vaini,TO,-21.2,-175.2,71.76,100,75,3.44,light rain
49,Abu Dhabi,AE,24.4667,54.3667,95.11,46,1,3.44,clear sky
50,Castro,BR,-24.7911,-50.0119,57.45,67,0,2.26,clear sky
51,Lorengau,PG,-2.0226,147.2712,84.88,68,51,6.87,broken clouds
