City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-09-05 20-04-39,-33.65,115.3333,50.04,74,0,9.33
1,Laguna,US,2021-09-05 20-04-40,38.421,-121.4238,98.44,22,1,1.99
2,Nanakuli,US,2021-09-05 20-04-40,21.3906,-158.1547,83.03,61,20,11.5
3,Udachnyy,RU,2021-09-05 20-04-40,66.4167,112.4,47.16,80,12,7.92
4,Rikitea,PF,2021-09-05 20-04-40,-23.1203,-134.9692,74.28,74,82,13.56
5,Kapaa,US,2021-09-05 20-04-41,22.0752,-159.319,82.72,68,40,5.01
6,Porbandar,IN,2021-09-05 20-04-40,21.6422,69.6093,80.46,87,79,8.75
7,Poso,ID,2021-09-05 20-04-41,-1.3959,120.7524,76.01,89,100,5.14
8,Vaini,TO,2021-09-05 20-04-41,-21.2,-175.2,73.56,100,90,6.91
9,Umba,RU,2021-09-05 20-04-42,66.6871,34.3429,39.69,72,78,10.85
10,Hamilton,US,2021-09-05 20-03-26,39.1834,-84.5333,81.88,62,40,5.01
11,Bluff,NZ,2021-09-05 20-04-42,-46.6,168.3333,53.8,63,100,19.13
12,Yellowknife,CA,2021-09-05 20-04-42,62.456,-114.3525,61.32,77,75,13.8
13,Ribeira Grande,PT,2021-09-05 20-04-43,38.5167,-28.7,72.0,60,75,5.75
14,Bara,NG,2021-09-05 20-04-43,10.3744,10.7288,75.02,84,78,6.31
15,Khiv,RU,2021-09-05 20-04-43,41.7543,47.9306,59.22,90,98,1.21
16,Dhidhdhoo,MV,2021-09-05 20-04-44,6.8833,73.1,81.99,77,91,14.7
17,Longyearbyen,SJ,2021-09-05 20-04-44,78.2186,15.6401,39.04,65,75,18.41
18,Albany,US,2021-09-05 20-00-30,42.6001,-73.9662,69.67,84,99,6.87
19,Ushuaia,AR,2021-09-05 20-03-11,-54.8,-68.3,51.46,58,20,2.3
20,Nikolskoye,RU,2021-09-05 20-04-44,59.7035,30.7861,42.69,80,93,4.99
21,Portland,US,2021-09-05 20-01-02,45.5234,-122.6762,85.1,54,8,1.01
22,San Juan,AR,2021-09-05 20-04-45,-31.5375,-68.5364,75.72,27,0,4.88
23,Bima,ID,2021-09-05 20-04-45,-8.4667,118.7167,73.81,94,93,3.8
24,San Cristobal,VE,2021-09-05 20-04-45,7.7669,-72.225,78.98,57,81,5.14
25,Port Moresby,PG,2021-09-05 20-04-46,-9.4431,147.1797,74.14,89,93,9.66
26,Hithadhoo,MV,2021-09-05 20-04-46,-0.6,73.0833,82.49,73,51,10.13
27,Tasiilaq,GL,2021-09-05 20-04-46,65.6145,-37.6368,44.76,97,100,4.29
28,Egvekinot,RU,2021-09-05 20-04-47,66.3167,-179.1667,34.38,79,99,3.49
29,Bambous Virieux,MU,2021-09-05 20-04-47,-20.3428,57.7575,71.22,69,100,19.86
30,Los Llanos De Aridane,ES,2021-09-05 20-04-47,28.6585,-17.9182,73.15,90,20,1.14
31,Riyadh,SA,2021-09-05 20-04-47,24.6877,46.7219,93.34,13,0,8.21
32,Amapa,BR,2021-09-05 20-04-48,1.0,-52.0,85.62,49,97,4.52
33,Kamaishi,JP,2021-09-05 20-04-48,39.2667,141.8833,60.91,83,99,9.55
34,Tianpeng,CN,2021-09-05 20-04-48,30.9866,103.9393,68.86,92,100,5.3
35,Cabo San Lucas,MX,2021-09-05 20-04-49,22.8909,-109.9124,93.61,58,20,10.36
36,Tabuk,PH,2021-09-05 20-04-49,17.4189,121.4443,73.78,93,100,1.68
37,Troitsk,RU,2021-09-05 20-04-49,54.0979,61.5773,47.19,48,0,6.93
38,Atuona,PF,2021-09-05 20-04-49,-9.8,-139.0333,77.72,77,42,18.41
39,Christchurch,NZ,2021-09-05 20-03-25,-43.5333,172.6333,48.0,78,93,1.99
40,Georgetown,MY,2021-09-05 20-04-38,5.4112,100.3354,79.9,86,20,0.0
41,Bengkulu,ID,2021-09-05 20-04-50,-3.8004,102.2655,74.7,91,60,3.85
42,Nizwa,OM,2021-09-05 20-04-50,22.9333,57.5333,88.72,27,5,1.9
43,Saint-Pierre,RE,2021-09-05 20-04-51,-21.3393,55.4781,69.48,64,10,16.11
44,Tarsus,TR,2021-09-05 20-04-51,36.9188,34.8784,78.67,63,0,1.59
45,Bowen,AU,2021-09-05 20-04-51,-20.0167,148.2333,65.53,87,0,8.57
46,Port Alfred,ZA,2021-09-05 20-04-52,-33.5906,26.891,60.44,76,15,9.51
47,Esperance,AU,2021-09-05 20-04-52,-33.8667,121.9,51.37,71,0,14.67
48,Farafangana,MG,2021-09-05 20-04-52,-22.8167,47.8333,67.95,82,25,9.71
49,Hermanus,ZA,2021-09-05 20-04-52,-34.4187,19.2345,51.8,55,100,12.8
50,Dikson,RU,2021-09-05 20-04-53,73.5069,80.5464,47.73,86,4,20.65
51,Kilrush,IE,2021-09-05 20-04-53,52.6397,-9.4833,65.95,85,100,6.08
52,Matongo,TZ,2021-09-05 20-04-53,-2.3833,34.0833,76.01,45,83,4.09
53,Dublyany,UA,2021-09-05 20-04-54,49.9041,24.0864,47.1,87,0,6.71
54,Mataura,NZ,2021-09-05 20-04-54,-46.1927,168.8643,53.47,84,100,3.51
55,Yenagoa,NG,2021-09-05 20-04-54,4.9247,6.2642,74.88,92,77,5.37
56,Lagoa,PT,2021-09-05 20-04-55,39.05,-27.9833,68.76,71,50,19.06
57,Hobart,AU,2021-09-05 20-04-20,-42.8794,147.3294,46.26,65,40,3.0
58,Zabol,AF,2021-09-05 20-04-55,32.25,67.25,73.65,12,6,8.57
59,Tiksi,RU,2021-09-05 20-04-55,71.6872,128.8694,50.77,82,100,28.1
60,Sambava,MG,2021-09-05 20-04-57,-14.2667,50.1667,68.5,79,22,13.35
61,Channarayapatna,IN,2021-09-05 20-04-57,12.9044,76.3917,67.91,94,100,13.04
62,Guayama,PR,2021-09-05 20-04-57,17.9841,-66.1138,90.23,75,2,10.0
63,Punta Arenas,CL,2021-09-05 20-04-57,-53.15,-70.9167,51.91,50,0,8.05
64,Avarua,CK,2021-09-05 20-04-58,-21.2078,-159.775,75.25,83,75,11.5
65,Puerto Ayora,EC,2021-09-05 20-04-58,-0.7393,-90.3518,70.93,74,97,11.99
66,Qaanaaq,GL,2021-09-05 20-04-58,77.484,-69.3632,20.12,80,41,5.41
